,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,tweet,sentiment
0,4036695433,2022-02-01 23:49:46+00:00, ,1488660880833548288,in,0,0.1,0.2,3,RT @BudiSetyarso: Alasan pemimpin memindah ibukota negara bervariasi: dari ekonomi hingga diktator yg menyiapkan perlindungan diri. Sedikit…,1
1,97591235,2022-02-01 23:43:14+00:00, ,1488659237991751680,in,3,0,0,3,"Alasan pemimpin memindah ibukota negara bervariasi: dari ekonomi hingga diktator yg menyiapkan perlindungan diri. Sedikit yg hasilnya sesuai klaim pemindahan.

https://t.co/wV0WQUfZSE",1
2,1318934072689790976,2022-02-01 23:08:57+00:00, ,1488650607862829059,in,0,0,0,8,"RT @arif_rintang: Pembiayaan utk persiapn, pembangunan&amp;pemindahan IbuKota Negara,&amp;pengembangan IbuKota Nusantara&amp;kawasan penunjang sbg peng…",5
3,1366779392983142400,2022-02-01 23:07:06+00:00, ,1488650144945885189,in,0,0,1,0,"Pertama, pemerintah hanya disibukkan dengan agenda pencarian ladang ekonomi untuk kepentingan investasi. Bukan tanpa dasar, cerminan kebijakan pemindahan ibukota dan klaim kemudahan sektor ekonomi melalui Omnibus Law dapat dijadikan rujukan utama.

#LurahKKN
#LurahKKN",2
4,30675611,2022-02-01 23:02:03+00:00, ,1488648872964784130,in,0,0,4,0,"@aqua_gak @SyarifullahDja1 @pengarang_sajak Dari jaman kapan juga ngomongnya kaum nyinyir adalah ""belum saatnya memindahkan ibukota"" sampai masalah berlarut di DKI, kota terbebani saratnya fungsi. Beban biaya pemindahan sebagian besar ditake over financial engineering teliti kok

Cuma yang kepentingan terganggu, berisik",2
5,1361294716172525569,2022-02-01 22:48:44+00:00, ,1488645522647060480,in,0,0,0,1,"RT @ReynandZaidan: penuh misteri
#LurahKKN
#LurahKKN
https://t.co/4dmlioeEWX",1
6,1337912510704279553,2022-02-01 22:46:00+00:00, ,1488644831912116231,in,2,0,0,1,"penuh misteri
#LurahKKN
#LurahKKN
https://t.co/4dmlioeEWX",1
7,1442980124119293957,2022-02-01 20:53:16+00:00, ,1488616463711686657,in,0,0,0,8,"RT @arif_rintang: Pembiayaan utk persiapn, pembangunan&amp;pemindahan IbuKota Negara,&amp;pengembangan IbuKota Nusantara&amp;kawasan penunjang sbg peng…",5
8,3267933938,2022-02-01 19:41:15+00:00, ,1488598338509611008,in,0,0,0,65,"RT @AnthonyBudiawan: Ibu Kota harus berupa sebuah kota, dipilih di antara kota-kota yang tersebar di sebuah negara, untuk ditunjuk sebagai…",1
9,1420772616747376640,2022-02-01 17:11:14+00:00, ,1488560588150099968,in,0,0,0,65,"RT @AnthonyBudiawan: Ibu Kota harus berupa sebuah kota, dipilih di antara kota-kota yang tersebar di sebuah negara, untuk ditunjuk sebagai…",1
