,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,tweet,sentiment
0,1368507244506087424,2022-06-01 23:59:51+00:00, ,1532149963806756864,in,0,0,0,1206,"RT @HeriSuwondo2: WNA China Sudah Dibuatkan KTP untuk Pemilu 2024, Dirjen Dukcapil: Jumlahnya Tidak Sampai Jutaan. Kabar buruk yg telah san…",1
1,567132989,2022-06-01 23:58:43+00:00, ,1532149677243908096,in,0,0,0,1206,"RT @HeriSuwondo2: WNA China Sudah Dibuatkan KTP untuk Pemilu 2024, Dirjen Dukcapil: Jumlahnya Tidak Sampai Jutaan. Kabar buruk yg telah san…",1
2,2395349646,2022-06-01 23:58:08+00:00, ,1532149531323682822,in,0,0,0,1206,"RT @HeriSuwondo2: WNA China Sudah Dibuatkan KTP untuk Pemilu 2024, Dirjen Dukcapil: Jumlahnya Tidak Sampai Jutaan. Kabar buruk yg telah san…",1
3,450071035,2022-06-01 23:58:00+00:00, ,1532149495718617088,in,0,0,0,1206,"RT @HeriSuwondo2: WNA China Sudah Dibuatkan KTP untuk Pemilu 2024, Dirjen Dukcapil: Jumlahnya Tidak Sampai Jutaan. Kabar buruk yg telah san…",1
4,1033993501694779393,2022-06-01 23:57:59+00:00, ,1532149492572897280,in,0,0,0,214,"RT @HeriSuwondo2: Skrg tambah 1 poin lagi yg hampir pasti menimbulkan kecurangan pemilu 2024, yaitu TKA yg terus dibuatkan E-KTP oleh negar…",1
5,1464931055857594375,2022-06-01 23:57:29+00:00, ,1532149367821303808,in,0,0,0,1206,"RT @HeriSuwondo2: WNA China Sudah Dibuatkan KTP untuk Pemilu 2024, Dirjen Dukcapil: Jumlahnya Tidak Sampai Jutaan. Kabar buruk yg telah san…",1
6,1121013315554037761,2022-06-01 23:57:26+00:00, ,1532149351874961408,in,0,0,0,6,RT @Rheina999: Andak PRESIDEN SOEKARNO atau SOEHARTO msh hidup ini pasti si dirjen ini di jancuk jancukin ..sarapp https://t.co/eABRbpwPVv,1
7,710729818468298753,2022-06-01 23:57:24+00:00, ,1532149344014544896,in,0,0,0,75,"RT @YanHarahap: Serius ini? Terus, kl tak sampai jutaan, tak mengapa?
—
WNA China Sudah Dibuatkan KTP untuk Pemilu 2024, Dirjen Dukcapil: J…",1
8,763442047009169408,2022-06-01 23:57:05+00:00, ,1532149264251748352,in,0,0,0,0,"Siapapun presidennya di 2024 kalau tidak bisa kerja dan berkarya seperti pak @jokowi , maka siap2 saja RAKYAT MINTA PEMILU LAGI https://t.co/Tom8sLuOMf",1
9,1247011076295675905,2022-06-01 23:55:24+00:00, ,1532148842962964481,in,0,0,0,1206,"RT @HeriSuwondo2: WNA China Sudah Dibuatkan KTP untuk Pemilu 2024, Dirjen Dukcapil: Jumlahnya Tidak Sampai Jutaan. Kabar buruk yg telah san…",1
10,1135086952720420864,2022-06-01 23:55:12+00:00, ,1532148791398346753,in,0,0,0,1206,"RT @HeriSuwondo2: WNA China Sudah Dibuatkan KTP untuk Pemilu 2024, Dirjen Dukcapil: Jumlahnya Tidak Sampai Jutaan. Kabar buruk yg telah san…",1
11,376542947,2022-06-01 23:55:07+00:00, ,1532148769466515457,in,0,0,0,1206,"RT @HeriSuwondo2: WNA China Sudah Dibuatkan KTP untuk Pemilu 2024, Dirjen Dukcapil: Jumlahnya Tidak Sampai Jutaan. Kabar buruk yg telah san…",1
12,447079989,2022-06-01 23:54:35+00:00, ,1532148635370065920,in,0,0,0,1390,"RT @democrazymedia: WNA China Sudah Dibuatkan KTP untuk Pemilu 2024, Dirjen Dukcapil: Jumlahnya Tidak Sampai Jutaan
https://t.co/BdT1anCcdm",1
