,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,tweet,sentiment
0,498272759,2020-01-01 22:49:33+00:00, ,1212506174458716161,in,0,0.1,0.2,1,"RT @Muhamad38987160: Mari dukung Omnibus Law 

#omnibuslaw #indonesia #nkri #investasi #ekonomi https://t.co/qfrETpeC5I",1
1,928092100876386304,2020-01-01 22:29:22+00:00, ,1212501095055937537,in,0,0,0,1,"Mari dukung Omnibus Law 

#omnibuslaw #indonesia #nkri #investasi #ekonomi https://t.co/qfrETpeC5I",3
2,221622236,2020-01-01 22:29:07+00:00, ,1212501030438440960,in,2,0,1,0,jadi apa ini masi mau dorong omnibus law en rupa2 kebijakan pro investasi yang menerabas semwa instrumen pencegahan kerusakan en pencemaran lingkungan?,1
3,1204739030992031744,2020-01-01 21:51:15+00:00, ,1212491501311102976,in,0,0,0,3,"RT @KemensetnegRI: Rapat Konsolidasi antar Humas K/L dalam Publikasi Kebijakan Omnibus Law Cipta Lapangan Kerja dan Perpajakan

https://t.c…",5
4,1204739030992031744,2020-01-01 21:42:57+00:00, ,1212489413365620736,in,0,0,0,1,RT @Yance_Yobee: Sederet Kekhawatiran Serikat Pekerja Terhadap Omnibus Law Jokowi https://t.co/WlXedWJVrQ,1
5,55171383,2020-01-01 19:57:05+00:00, ,1212462769833836544,in,0,0,0,549,"RT @BigAlphaID: Kabar gembira, penerapan Omnibus Law yang mengubah beberapa peraturan perpajakan. https://t.co/FFWjnliQYL",1
6,1533146886,2020-01-01 19:53:45+00:00, ,1212461932365529089,in,0,0,1,0,Nah untuk mencapai itu semua pemerintah terus melakukan kebijakan kebijakan dan menetapkan regulasi agar iklim usaha bergeliat. Diantaranya pemerintah akan memangkas UU dengan menerapkan omnibus law. #UpahKerjaPerJam,5
7,833418561863327744,2020-01-01 19:36:24+00:00, ,1212457563662323712,in,0,0,0,2,"RT @SudirmanAsun: Pray for 
Infrastruktur Masif Tanpa Kajian, Hamba Investor, TATA rUANG dan 
Omnibus Law Penghapusan IMB AMDAL
Presiden Jo…",1
8,128549345,2020-01-01 17:35:32+00:00, ,1212427149535137792,in,0,0,0,2,"RT @SudirmanAsun: Pray for 
Infrastruktur Masif Tanpa Kajian, Hamba Investor, TATA rUANG dan 
Omnibus Law Penghapusan IMB AMDAL
Presiden Jo…",1
9,214415020,2020-01-01 17:13:07+00:00, ,1212421504396189696,in,1,0,0,2,"Pray for 
Infrastruktur Masif Tanpa Kajian, Hamba Investor, TATA rUANG dan 
Omnibus Law Penghapusan IMB AMDAL
Presiden Joko Widodo",5
10,191951600,2020-01-01 16:21:43+00:00, ,1212408572253896704,in,0,0,0,0,"https://t.co/DchacSmKjA mau omnibus law.. Tetep aja, nyungsep ekonomi kita",1
11,3235348579,2020-01-01 16:02:29+00:00, ,1212403729963503617,in,4,0,0,1,Sederet Kekhawatiran Serikat Pekerja Terhadap Omnibus Law Jokowi https://t.co/WlXedWJVrQ,1
12,1069401364067868673,2020-01-01 14:36:04+00:00, ,1212381982694477824,in,0,0,0,0,Langkah Pemerintah terkait kebijakan Omnibus Law dapat memicu pertumbuhan ekonomi berupa meningkatnya arus masuk investasi di Indonesia sehingga juga berdampak pada ketersediaan lapangan pekerjaan. Tantangan ekonomi… https://t.co/mRIV0SMOg3,4
13,1068502647873753089,2020-01-01 14:15:52+00:00, ,1212376901517336577,in,0,0,0,0,Langkah Pemerintah terkait kebijakan _Omnibus Law_ dapat memicu pertumbuhan ekonomi berupa meningkatnya arus masuk investasi di Indonesia sehingga juga berdampak pada ketersediaan lapangan pekerjaan. Tantangan ekonomi Indonesia pada tahun-tahun mendatang memang tergolong besar https://t.co/Yf1jyqg81H,4
14,1068502647873753089,2020-01-01 14:15:39+00:00, ,1212376845821202434,in,0,0,0,0,Langkah Pemerintah terkait kebijakan _Omnibus Law_ dapat memicu pertumbuhan ekonomi berupa meningkatnya arus masuk investasi di Indonesia sehingga juga berdampak pada ketersediaan lapangan pekerjaan. Tantangan ekonomi Indonesia pada tahun-tahun mendatang memang tergolong besar https://t.co/IjYMoxMGqa,4
15,1068502647873753089,2020-01-01 14:15:20+00:00, ,1212376767068958721,in,0,0,0,0,Langkah Pemerintah terkait kebijakan _Omnibus Law_ dapat memicu pertumbuhan ekonomi berupa meningkatnya arus masuk investasi di Indonesia sehingga juga berdampak pada ketersediaan lapangan pekerjaan. Tantangan ekonomi Indonesia pada tahun-tahun mendatang memang tergolong besar https://t.co/KyeveRpBUR,4
16,1068502647873753089,2020-01-01 14:15:06+00:00, ,1212376705676922884,in,0,0,0,0,Langkah Pemerintah terkait kebijakan _Omnibus Law_ dapat memicu pertumbuhan ekonomi berupa meningkatnya arus masuk investasi di Indonesia sehingga juga berdampak pada ketersediaan lapangan pekerjaan. Tantangan ekonomi Indonesia pada tahun-tahun mendatang memang tergolong besar https://t.co/iiUQn0EZyD,4
17,1068502647873753089,2020-01-01 14:14:54+00:00, ,1212376658855940096,in,0,0,0,0,Langkah Pemerintah terkait kebijakan _Omnibus Law_ dapat memicu pertumbuhan ekonomi berupa meningkatnya arus masuk investasi di Indonesia sehingga juga berdampak pada ketersediaan lapangan pekerjaan. Tantangan ekonomi Indonesia pada tahun-tahun mendatang memang tergolong besar https://t.co/vRdIfxozs1,4
18,483438796,2020-01-01 14:13:53+00:00, ,1212376402718121985,in,0,0,0,0,Klo Omnibus Law gabungan UU Agraria+Investasi lahir bisa lebih parah lagi banjir yg menimpa jakarta tiap tahun. Sepertinya rencana penghapusan amdal perlu dipikirkan matang² lagi demi kepentingan rakyat daripada kepentingan investor https://t.co/Qlui0LiAan,1
19,1090195233260748800,2020-01-01 14:05:17+00:00, ,1212374235659694080,in,0,0,0,0,Langkah Pemerintah terkait kebijakan _Omnibus Law_ dapat memicu pertumbuhan ekonomi berupa meningkatnya arus masuk investasi di Indonesia sehingga juga berdampak pada ketersediaan lapangan pekerjaan. Diperlukan tindakan afirmatif untuk mempercepat pertumbuhan ekonomi Indonesia. https://t.co/7Xw6qBVYlq,4
20,1627500098,2020-01-01 13:29:39+00:00, ,1212365268162187265,in,0,1,0,0,"Ini pada ribut jokowi, ahok, dan anies lagi ya?

Soal omnibus law kah? https://t.co/GX5mK0BQCc",1
