,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,tweet,sentiment
0,1339018325209141248,2022-11-01 23:59:47+00:00, ,1587595289229422592,in,0,0.1,0.2,0.3,RANGKAIAN KEGIATAN PRESIDENSI G20 INDONESIA MEMBERI DAMPAK POSITIF BAGI PEMULIHAN PARIWISATA DAN EKONOMI KREATIF DI TANAH AIR https://t.co/ZnxZMAqoVE,5
1,60919729,2022-11-01 23:59:43+00:00, ,1587595272418623488,in,0,0,0,750,"RT @jokowi: KTT G20 digelar di Bali pada 15-16 November 2022. 

Posisi Presidensi G20 adalah sebuah kepercayaan dan kehormatan bagi Indones…",5
2,1436256228749893632,2022-11-01 23:58:54+00:00, ,1587595065186471936,in,0,0,0,0,PLN Pamerkan 2 PLTS dan 33 PV Rooftop di Bali Jelang KTT G20 https://t.co/pbUhwGNPg1 https://t.co/FXIT68jZY8,5
3,1509374790297350146,2022-11-01 23:58:48+00:00, ,1587595041757073408,in,1,0,0,0,"Pemerintah pastikan semua proyek infrastruktur pendukung G20 sudah selesai
✓
✓
#IKNBerdampakPositif https://t.co/KkUXbxmNBb",1
4,1117258159872020481,2022-11-01 23:58:11+00:00, ,1587594887289245696,in,0,0,0,750,"RT @jokowi: KTT G20 digelar di Bali pada 15-16 November 2022. 

Posisi Presidensi G20 adalah sebuah kepercayaan dan kehormatan bagi Indones…",5
5,1161838173363642368,2022-11-01 23:57:03+00:00, ,1587594600671232002,in,0,0,0,0,"@jokowi Sepertinya pak Putin jgn datang deh pak di G20,kemungkinan besar ada skenario intelijen group NATO+Aus+Mossad yg akan bereaksi di indonesia",1
6,1573872182072967168,2022-11-01 23:56:37+00:00, ,1587594493288624129,in,0,0,0,1,RT @black_xadow: Nih kalian wajib tau sih apalagi buat UMKM biar pada ngga ketinggalan kalo BRI dukung G20 #BRIDukungG20,1
7,1422133217977454593,2022-11-01 23:56:27+00:00, ,1587594450179457025,hu,0,0,0,35,"RT @RaniKancana__: Keren. 👍

https://t.co/RSveflk5xO",1
8,326453024,2022-11-01 23:55:57+00:00, ,1587594324635574272,in,0,0,0,13,"RT @Aprilia_wiji: Menteri BUMN Erick Thohir kagum dengan produk kerajinan tangan dari UMKM Rasendriya Kriya Tulang Daun Semarang, sehingga…",3
9,1442122733886664704,2022-11-01 23:55:40+00:00, ,1587594253521326081,in,0,0,0,0,"Bali Memberlakukan Ganjil Genap Selama KTT G20, Berikut Daftar Lokasinya https://t.co/gY1l7kMgNG",5
